Table 3 BH and Galaxy Properties of the BL Halpha Emitters
ID	log_10(M _BH/M _sun)	L _bol(10^44 erg s^-1)	M_UV	beta _UV	beta _opt							
GOODS-N-4014	7.58  0.08	9.3  0.5	-18.0  0.2	-2.04 -0.93 +0.70	2.00 -0.82 +1.12	
GOODS-N-9771	8.55  0.03	65.8  1.6	-19.5  0.1	-0.61 -0.13 +0.13	0.76 -0.36 +0.31	
GOODS-N-12839	8.01  0.06	31.2  1.2	-19.0  0.1	-1.64 -0.18 +0.19	1.92 -0.22 +0.24	
GOODS-N-13733	7.49  0.10	5.2  0.3	-17.9  0.2	-1.59 -0.48 +0.55	1.23 -0.32 +0.41	
GOODS-N-14409	7.21  0.14	7.4  0.9	-18.3  0.1	-2.26 -0.36 +0.37	0.09 -0.37 +0.40	
GOODS-N-15498	7.71  0.11	10.4  1.9	-17.7  0.2	-1.63 -0.44 +0.50	2.75 -0.34 +0.38	
GOODS-N-16813	7.55  0.12	9.1  1.0	-19.7  0.1	-2.19 -0.13 +0.12	-0.60 -0.23 +0.23	
GOODS-S-13971	7.49  0.25	5.5  1.2	-19.4  0.1	-2.07 -0.09 +0.09	1.45 -0.14 +0.14	
J1148-7111	7.92  0.10	10.8  0.8	-18.6  0.1	-1.00 -0.28 +0.31	0.25 -0.17 +0.18	
J1148-18404	7.79  0.14	6.9  1.4	-17.5  0.1	-0.20 -0.35 +0.43	2.73 -0.15 +0.17	
J1148-21787	7.59  0.18	6.7  1.6	-19.2  0.1	-1.85 -0.23 +0.23	-0.42 -0.16 +0.17	
J0100-2017	7.44  0.11	6.7  0.8	-19.3  0.1	-1.57 -0.18 +0.19	-1.01 -0.17 +0.17	
J0100-12446	7.46  0.06	12.9  0.6	-19.0  0.1	-0.92 -0.20 +0.21	-0.20 -0.14 +0.14	
J0100-15157	7.35  0.08	6.5  0.6	-20.2  0.1	-1.87 -0.14 +0.14	-2.34 -0.24 +0.19	
J0100-16221	7.53  0.07	7.1  0.6	-18.9  0.1	-1.42 -0.19 +0.19	-0.50 -0.14 +0.14	
J0148-976	7.11  0.18	5.2  0.7	-19.1  0.1	-1.44 -0.18 +0.18	-1.52 -0.17 +0.19	
J0148-4214	7.32  0.10	5.9  0.4	-20.0  0.1	-1.71 -0.13 +0.14	-0.83 -0.11 +0.13	
J0148-12884	6.91  0.15	5.0  0.6	-19.5  0.1	-1.65 -0.16 +0.17	-0.59 -0.14 +0.12	
J1120-7546	7.56  0.11	13.8  1.6	-17.6  0.3	-0.41 -0.68 +0.94	1.59 -0.27 +0.27	
J1120-14389	7.65  0.07	8.4  0.8	-19.1  0.1	-1.58 -0.19 +0.19	0.62 -0.13 +0.13	
